strike_volume,country_code,year,unemployment,inflation,parliamentary_representation,union_centralization
4.0,14.0,1979.0,1.9,4.8,52.0,0.875
63.0,14.0,1980.0,1.7,10.9,52.0,0.875
17.0,14.0,1981.0,2.0,13.6,52.0,0.875
167.0,14.0,1982.0,2.6,11.4,46.7,0.875
3.0,14.0,1983.0,3.3,8.4,46.7,0.875
61.0,14.0,1984.0,3.0,6.3,46.7,0.875
37.0,14.0,1985.0,2.5,5.7,46.7,0.875
217.0,15.0,1951.0,1.8,15.8,52.2,0.875
32.0,15.0,1952.0,2.4,7.7,52.2,0.875
237.0,15.0,1953.0,2.8,1.6,50.0,0.875
10.0,15.0,1954.0,2.6,0.8,50.0,0.875
63.0,15.0,1955.0,2.5,3.1,50.0,0.875
2.0,15.0,1956.0,1.5,4.5,50.0,0.875
21.0,15.0,1957.0,1.9,4.4,48.5,0.875
6.0,15.0,1958.0,2.5,4.4,50.2,0.875
9.0,15.0,1959.0,2.0,0.8,50.2,0.875
7.0,15.0,1960.0,1.8,4.1,50.2,0.875
1.0,15.0,1961.0,1.7,2.2,51.3,0.875
2.0,15.0,1962.0,1.5,4.8,51.3,0.875
8.0,15.0,1963.0,1.7,2.9,51.3,0.875
11.0,15.0,1964.0,1.6,3.4,51.3,0.875
1.0,15.0,1965.0,1.2,5.0,51.9,0.875
109.0,15.0,1966.0,1.6,6.4,51.9,0.875
0.0,15.0,1967.0,2.1,4.3,51.9,0.875
0.0,15.0,1968.0,2.2,1.9,51.9,0.875
34.0,15.0,1969.0,1.9,2.7,54.9,0.875
45.0,15.0,1970.0,1.5,7.0,54.9,0.875
242.0,15.0,1971.0,2.5,7.4,51.4,0.875
3.0,15.0,1972.0,2.7,6.0,51.4,0.875
3.0,15.0,1973.0,2.5,6.7,51.4,0.875
16.0,15.0,1974.0,2.0,9.9,50.0,0.875
98.0,15.0,1975.0,1.6,9.8,50.0,0.875
7.0,15.0,1976.0,1.6,10.3,50.0,0.875
23.0,15.0,1977.0,1.8,11.5,48.4,0.875
10.0,15.0,1978.0,2.2,9.9,48.4,0.875
7.0,15.0,1979.0,2.1,7.2,48.4,0.875
1150.0,15.0,1980.0,2.0,13.7,49.9,0.875
54.0,15.0,1981.0,2.5,12.1,49.9,0.875
0.0,15.0,1982.0,3.1,8.6,49.9,0.875
9.0,15.0,1983.0,3.5,8.9,53.3,0.875
8.0,15.0,1984.0,3.1,8.0,53.3,0.875
127.0,15.0,1985.0,2.8,7.4,53.3,0.875
5.0,16.0,1951.0,0.8,4.8,28.4,0.5
7.0,16.0,1952.0,0.9,2.5,27.6,0.5
35.0,16.0,1953.0,0.9,-0.6,27.6,0.5
15.0,16.0,1954.0,0.8,0.7,27.6,0.5
1.0,16.0,1955.0,0.5,0.9,27.6,0.5
1.0,16.0,1956.0,0.6,1.5,29.1,0.5
0.0,16.0,1957.0,0.4,2.0,29.1,0.5
1.0,16.0,1958.0,0.4,1.8,29.1,0.5
1.0,16.0,1959.0,0.4,-0.7,29.1,0.5
1.0,16.0,1960.0,0.0,1.4,27.6,0.5
0.0,16.0,1961.0,0.0,1.9,27.6,0.5
1.0,16.0,1962.0,0.0,4.3,27.6,0.5
32.0,16.0,1963.0,0.0,3.4,27.6,0.5
2.0,16.0,1964.0,0.0,3.1,28.5,0.5
0.0,16.0,1965.0,0.0,3.4,28.5,0.5
0.0,16.0,1966.0,0.0,4.8,28.5,0.5
1.0,16.0,1967.0,0.0,4.0,28.5,0.5
1.0,16.0,1968.0,0.0,2.4,28.0,0.5
0.0,16.0,1969.0,0.0,2.5,28.0,0.5
1.0,16.0,1970.0,0.0,3.6,28.0,0.5
3.0,16.0,1971.0,0.0,6.6,28.0,0.5
1.0,16.0,1972.0,0.0,6.7,25.5,0.5
0.0,16.0,1973.0,0.0,8.8,25.5,0.5
1.0,16.0,1974.0,0.0,9.8,25.5,0.5
1.0,16.0,1975.0,0.4,6.7,25.5,0.5
8.0,16.0,1976.0,0.7,1.7,29.5,0.5
2.0,16.0,1977.0,0.4,1.3,29.5,0.5
2.0,16.0,1978.0,0.3,1.1,29.5,0.5
1.0,16.0,1979.0,0.3,3.7,29.5,0.5
2.0,16.0,1980.0,0.2,4.0,27.0,0.5
0.0,16.0,1981.0,0.2,6.5,27.0,0.5
0.0,16.0,1982.0,0.4,5.7,27.0,0.5
2.0,16.0,1983.0,0.9,3.0,27.0,0.5
0.0,16.0,1984.0,1.1,2.9,24.0,0.5
0.0,16.0,1985.0,0.9,3.4,24.0,0.5
81.0,17.0,1951.0,0.9,9.7,47.2,0.375
86.0,17.0,1952.0,1.4,6.1,47.2,0.375
104.0,17.0,1953.0,1.3,1.9,47.2,0.375
114.0,17.0,1954.0,1.0,1.9,47.2,0.375
173.0,17.0,1955.0,0.8,3.1,44.0,0.375
95.0,17.0,1956.0,0.9,4.2,44.0,0.375
380.0,17.0,1957.0,1.1,2.4,44.0,0.375
158.0,17.0,1958.0,1.7,2.9,44.0,0.375
239.0,17.0,1959.0,1.7,0.7,41.0,0.375
135.0,17.0,1960.0,1.3,1.0,41.0,0.375
134.0,17.0,1961.0,1.1,3.6,41.0,0.375
252.0,17.0,1962.0,1.6,4.1,41.0,0.375
76.0,17.0,1963.0,2.0,2.1,41.0,0.375
100.0,17.0,1964.0,1.4,3.2,50.3,0.375
127.0,17.0,1965.0,1.2,4.8,50.3,0.375
103.0,17.0,1966.0,1.1,3.9,57.8,0.375
122.0,17.0,1967.0,2.0,2.4,57.8,0.375
207.0,17.0,1968.0,2.1,4.7,57.8,0.375
303.0,17.0,1969.0,2.0,5.5,57.8,0.375
488.0,17.0,1970.0,2.2,6.4,45.7,0.375
612.0,17.0,1971.0,2.8,9.4,45.7,0.375
1080.0,17.0,1972.0,3.1,7.1,45.7,0.375
317.0,17.0,1973.0,2.2,9.2,45.7,0.375
647.0,17.0,1974.0,2.1,15.9,47.4,0.375
265.0,17.0,1975.0,3.2,24.2,50.2,0.375
146.0,17.0,1976.0,4.8,16.5,50.2,0.375
448.0,17.0,1977.0,5.2,15.9,50.2,0.375
413.0,17.0,1978.0,5.1,8.2,50.2,0.375
1272.0,17.0,1979.0,4.6,13.5,42.4,0.375
520.0,17.0,1980.0,5.6,18.0,42.4,0.375
195.0,17.0,1981.0,9.0,11.9,42.4,0.375
248.0,17.0,1982.0,10.4,8.6,42.4,0.375
178.0,17.0,1983.0,11.2,4.6,32.2,0.375
1278.0,17.0,1984.0,11.2,5.0,32.2,0.375
298.0,17.0,1985.0,11.5,6.1,32.2,0.375
466.0,18.0,1951.0,3.2,8.0,51.0,0.0
1190.0,18.0,1952.0,2.9,2.2,51.0,0.0
559.0,18.0,1953.0,2.8,0.8,49.0,0.0
456.0,18.0,1954.0,5.3,0.4,49.0,0.0
529.0,18.0,1955.0,4.2,-0.3,51.0,0.0
616.0,18.0,1956.0,4.0,1.5,51.0,0.0
311.0,18.0,1957.0,4.2,3.4,51.0,0.0
438.0,18.0,1958.0,6.6,2.7,51.0,0.0
1236.0,18.0,1959.0,5.3,0.9,65.3,0.0
341.0,18.0,1960.0,5.4,1.5,65.3,0.0
284.0,18.0,1961.0,6.5,1.1,64.0,0.0
317.0,18.0,1962.0,5.4,1.1,64.0,0.0
267.0,18.0,1963.0,5.5,1.2,68.0,0.0
385.0,18.0,1964.0,5.0,1.3,68.0,0.0
379.0,18.0,1965.0,4.4,1.7,68.0,0.0
399.0,18.0,1966.0,3.7,3.0,68.0,0.0
636.0,18.0,1967.0,3.7,2.8,64.0,0.0
723.0,18.0,1968.0,3.5,4.2,64.0,0.0
615.0,18.0,1969.0,3.4,5.4,58.0,0.0
940.0,18.0,1970.0,4.8,5.9,58.0,0.0
668.0,18.0,1971.0,5.8,4.3,54.0,0.0
366.0,18.0,1972.0,5.5,3.3,54.0,0.0
625.0,18.0,1973.0,4.8,6.2,56.0,0.0
612.0,18.0,1974.0,5.5,11.0,56.0,0.0
403.0,18.0,1975.0,8.3,9.1,62.0,0.0
298.0,18.0,1976.0,7.6,5.7,62.0,0.0
255.0,18.0,1977.0,6.9,6.5,61.0,0.0
273.0,18.0,1978.0,6.0,7.7,61.0,0.0
228.0,18.0,1979.0,5.8,11.3,58.0,0.0
232.0,18.0,1980.0,7.0,13.5,58.0,0.0
186.0,18.0,1981.0,7.5,10.3,46.0,0.0
101.0,18.0,1982.0,9.5,6.2,46.0,0.0
192.0,18.0,1983.0,9.5,3.2,46.0,0.0
89.0,18.0,1984.0,7.4,4.3,46.0,0.0
73.0,18.0,1985.0,7.1,3.6,47.0,0.0
